"partyid","age","sex","race","degree","attend"
"Republican",32,"2","1","1","0"
"Republican",61,"2","1","1","4"
"Democrat",69,"2","1","3","6"
"Democrat",30,"1","3","0","0"
"Democrat",57,"1","1","1","0"
"Republican",24,"1","3","3","2"
"Democrat",57,"2","1","1","1"
"Democrat",22,"2","1","1","0"
"Democrat",50,"1","1","1","6"
"Democrat",71,"2","1","1","8"
"Democrat",84,"2","1","0","0"
"Democrat",55,"2","1","1","3"
"Democrat",21,"2","1","1","2"
"Democrat",83,"2","1","0","6"
"Democrat",77,"2","1","0","0"
"Democrat",28,"2","1","3","0"
"Democrat",62,"1","1","4","6"
"Republican",22,"1","1","3","5"
"Democrat",61,"2","1","3","0"
"Democrat",31,"2","2","3","5"
"Republican",26,"2","1","3","8"
"Republican",78,"2","1","0","2"
"Democrat",40,"1","1","3","0"
"Republican",52,"1","1","1","1"
"Democrat",70,"1","1","4","0"
"Democrat",36,"2","1","3","1"
"Democrat",58,"1","1","3","7"
"Republican",84,"1","1","0","0"
"Democrat",26,"2","3","1","0"
"Republican",46,"1","1","1","2"
"Democrat",88,"1","1","0","0"
"Democrat",46,"2","1","1","2"
"Democrat",23,"1","1","1","2"
"Republican",63,"2","1","1","8"
"Democrat",28,"2","1","4","7"
"Republican",57,"1","1","1","2"
"Democrat",64,"1","1","4","0"
"Republican",63,"1","1","2","7"
"Democrat",22,"2","1","1","2"
"Democrat",28,"1","3","0","0"
"Republican",60,"2","1","1","6"
"Democrat",31,"1","1","1","4"
"Democrat",57,"2","2","1","8"
"Republican",51,"2","1","3","6"
"Republican",31,"2","1","4","7"
"Republican",49,"1","1","2","7"
"Republican",19,"2","1","1","4"
"Republican",48,"1","1","1","1"
"Republican",46,"2","1","1","3"
"Democrat",31,"2","1","1","0"
"Democrat",30,"2","1","1","2"
"Republican",62,"2","1","1","0"
"Republican",54,"2","1","1","7"
"Democrat",53,"1","1","0","0"
"Republican",78,"1","1","4","2"
"Democrat",66,"2","1","1","0"
"Democrat",42,"1","1","0","7"
"Democrat",61,"1","1","1","6"
"Democrat",55,"1","1","1","0"
"Democrat",33,"1","1","0","7"
"Republican",62,"2","1","0","2"
"Democrat",59,"2","1","1","3"
"Republican",62,"1","1","3","2"
"Republican",65,"2","1","1","7"
"Republican",30,"1","1","3","6"
